Name;Typ;Strasse;PLZ;Ort;Telefon;Mail;Homepage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;O_MO;O_DI;O_MI;O_DO;O_FR;O_SA;O_SO;Kommentar
Gasthof Grüner Baum;fränkisch;Diepersdorfer Hauptstr. 32;91227;Leinburg;+499120210;info@gruenerbaum-schorr.de;http://www.gruenerbaum-schorr.de;Mo;x;Mi;Do;Fr;Sa;So;07:00 - 00:00;x;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;
Landgasthof Löhner;fränkisch;Diepersdorfer Hauptstr. 13;91227;Leinburg;+4991201860;info@landgasthof-loehner.de;https://landgasthof-loehner.de;x;Di;Mi;x;Fr;Sa;So;x;11:00 - 14:00 & 17:00 - 20:30;11:00 - 14:00 & 17:00 - 20:30;x;11:00 - 14:00 & 17:00 - 20:30;11:00 - 14:00 & 17:00 - 20:30;11:00 - 14:30 & 17:00 - 20:00;
Grottenhof;fränkisch;Krottensee;91284;Neuhaus;+499156434;info@grottenhof.de;http://www.grottenhof.de;x;x;x;x;Fr;Sa;So;x;x;x;x;17:00 - 21:00;11:00 - 20:00;11:00 - 20:00;
Berggasthof Glatzenstein;fränkisch;Jura str. 14;91233;Neunkirchen am Sand;+4991537906;info@berggasthof-glatzenstein.de;https://berggasthof-glatzenstein.de;x;x;x;x;Fr;x;So;x;x;x;x;18:00 - 21:00;x;11:00 - 18:30;
Sportheim FC Ottensoos;griechisch;Rüblander Str. 50;91242;Ottensoos;+4991234687;;https://www.fc-ottensoos.de/sportgaststaette/;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;11:30 - 15:00 & 17:00 - 22:00;
Rotes Ross;fränkisch;Dorfplatz 10;91242;Ottensoos;+4991239645587;;https://www.rotesross-ottensoos.de;Mo;x;Mi;Do;Fr;Sa;So;15:00 - 23:00;x;15:00 - 23:00;15:00 - 23:00;11:00 - 23:00;11:00 - 23:00;11:00 - 23:00;
Gasthaus Goldenes Herz;fränkisch;Hauptstr. 12;91287;Plech;+499244398;gasthaus-goldenes-herz@t-online.de;https://www.gasthaus-goldenes-herz.de;Mo;Di;x;Do;Fr;Sa;So;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;x;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;
Gasthaus Seitz;fränkisch;Bernheck 17;91287;Plech;+4992441217;;http://seitzbernheck.de;Mo;x;Mi;Do;x;Sa;So;11:30 - 14:30 & 17:00 - 21:00;x;11:30 - 14:30 & 17:00 - 21:00;11:30 - 14:30 & 17:00 - 21:00;x;11:30 - 14:30 & 17:00 - 21:00;11:00 - 14:30 & 16:30 - 21:00;
Landgasthof zur Traube;fränkisch;Hauptstr. 9;91287;Plech;+499244329;zur-traube-plech@t-online.de;http://www.zur-traube-plech.de;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;10:00 - 14:00 & 17:00 - 22:00;10:00 - 14:00 & 17:00 - 22:00;
Gasthaus zum Schottental;fränkisch;Heldmannsberg 4;91224;Pommelsbrunn;+49915494444;info@zum-schottental.de;https://zum-schottental.de;x;x;x;Do;Fr;Sa;So;x;x;x;11:00 - 14:00 & 17:30 - 22:00;11:00 - 14:00 & 17:30 - 22:00;11:00 - 22:00;11:00 - 22:00;
Grüner Schwan;fränkisch;Eschenbach 12;91224;Pommelsbrunn;+499154916950;;https://www.gruenerschwan.de/;x;Di;x;x;Fr;Sa;So;x;17:00 - 24:00;x;x;17:00 - 24:00;12:00 - 20:00;12:00 - 19:00;
Osteria Pizza e Pasta Lucia & Lory;italienisch;Bahnhofstr. 7a;91224;Pommelsbrunn;+4991549153757;;https://osteria-lucia-lory.de/;x;Di;Mi;Do;Fr;Sa;So;x;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;
Berggasthof Moritzberg;fränkisch;Moritzberg 1;90552;Röthenbach;+4991208393;berggasthof-moritzberg@web.de;http://www.berggasthof-moritzberg.de;x;x;Mi;Do;Fr;Sa;So;x;x;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;
Gasthaus Mais (Renzenhof);fränkisch;Altdorfer Str. 1;90552;Röthenbach;+499120267;;https://gasthaus-mais-renzenhof.de/;x;x;Mi;Do;Fr;Sa;So;x;x;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Gasthaus zum Rockenbrunn;fränkisch;Rockenbrunn 1;90552;Röthenbach;+499120798;info@zumrockenbrunn.de;https://zumrockenbrunn.de;Mo;Di;x;Do;Fr;Sa;So;16:00 - 21:00;16:00 - 21:00;x;16:00 - 21:00;16:00 - 21:00;16:00 - 21:00;11:00 - 15:00;
Gasthaus Scharrer Großengesee;fränkisch;Wintersteiner str. 2;91245;Simmelsdorf;+499155407;info@gasthaus-scharrer.de;https://www.gasthaus-scharrer.de;Mo;x;Mi;Do;Fr;Sa;So;11:00 - 14:00;x;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 17:00;09:00 - 15:00;
Zum Fichtenpark;fränkisch;Unternaifermühle 1;91245;Simmelsdorf;+499155814;;https://www.simmelsdorf.de/Gasthaus-Zum-Fichtenpark.o436.html;x;x;Mi;Do;Fr;Sa;So;x;x;17:00 - 22:00;11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00 & 17:00 - 22:00;11:30 - 14:00;
Zu den Linden;fränkisch;Utzmannsbach 11;91245;Simmelsdorf;+499155 446;info@gasthaus-zu-den-linden.de;https://www.gasthaus-zu-den-linden.de/;x;x;Mi;Do;Fr;Sa;So;x;x;10:00 - 15:00;11:00 - 15:00;11:00 - 15:00;11:00 - 15:00;11:00 - 15:00;
Cafe Inselblick;Cafe;Bahnhofstr. 4a;91247;Vorra;+499152921990;;https://www.vorra-mfr.de/cafe-inselblick;x;x;x;x;x;Sa;So;x;x;x;x;x;11:30 - 22:00;11:30 - 19:00;
Pechwirt Artelshofen;fränkisch;Von-Tetzel Str. 4;91247;Vorra;+4991528555;einkehren@beim-pechwirt.de;https://www.beim-pechwirt.de/;x;Di;x;Do;Fr;Sa;So;x;11:00 - 22:30;x;11:00 - 22:30;11:00 - 22:30;11:00 - 22:30;11:00 - 22:30;
Gasthof Stiegler;fränkisch;Alfalter 32;91247;Vorra;+4991528167;info@gasthof-stiegler.de;http://www.gasthof-stiegler.de;x;x;x;x;Fr;Sa;So;x;x;x;x;11:30 - 14:30 & 17:30 - 21:00;11:30 - 14:30 & 17:30 - 21:00;11:30 - 21:00;
Gasthaus zum Lillachtal;fränkisch;Dorfhauser Str. 61;91367;Weißenohe;+4991928404;info@zum-lillachtal.de;http://www.zum-lillachtal.de;x;x;x;Do;Fr;Sa;So;x;x;x;17:00 - 22:00;11:30 - 22:00;11:30 - 22:00;11:30 - 22:00;
Klosterbrauerei Weißenohe;fränkisch;Klosterstr. 20;91367;Weißenohe;+499192591;info@klosterbrauerei-weissenohe.de;https://www.weissenohe.de/wirtshaus-klosterbrauerei-weissenohe;Mo;Di;Mi;Do;Fr;Sa;x;08:00 - 12:00 & 13:00 - 17:00;08:00 - 12:00 & 13:00 - 17:00;08:00 - 12:00 & 13:00 - 17:00;08:00 - 12:00 & 13:00 - 17:00;08:00 - 12:00 & 13:00 - 17:00;08:30 - 12:00;x;
